"Eastern Date Hour","Zone Name","Zone PTID","TWI Actual Load"
"2021/01/01 00:00:00","LONGIL","61762","2045.6664"
"2021/01/01 01:00:00","LONGIL","61762","1932.5254"
"2021/01/01 02:00:00","LONGIL","61762","1846.1064"
"2021/01/01 03:00:00","LONGIL","61762","1794.544"
"2021/01/01 04:00:00","LONGIL","61762","1791.3168"
"2021/01/01 05:00:00","LONGIL","61762","1818.5349"
"2021/01/01 06:00:00","LONGIL","61762","1866.0643"
"2021/01/01 07:00:00","LONGIL","61762","1883.3914"
"2021/01/01 08:00:00","LONGIL","61762","1872.7583"
"2021/01/01 09:00:00","LONGIL","61762","1865.4351"
"2021/01/01 10:00:00","LONGIL","61762","1881.3478"
"2021/01/01 11:00:00","LONGIL","61762","2030.5971"
"2021/01/01 12:00:00","LONGIL","61762","2132.7201"
"2021/01/01 13:00:00","LONGIL","61762","2171.9548"
"2021/01/01 14:00:00","LONGIL","61762","2212.8049"
"2021/01/01 15:00:00","LONGIL","61762","2291.2645"
"2021/01/01 16:00:00","LONGIL","61762","2474.4938"
"2021/01/01 17:00:00","LONGIL","61762","2629.9224"
"2021/01/01 18:00:00","LONGIL","61762","2600.5804"
"2021/01/01 19:00:00","LONGIL","61762","2534.5207"
"2021/01/01 20:00:00","LONGIL","61762","2462.9532"
"2021/01/01 21:00:00","LONGIL","61762","2360.9475"
"2021/01/01 22:00:00","LONGIL","61762","2209.1356"
"2021/01/01 23:00:00","LONGIL","61762","2042.5258"
"2021/01/02 00:00:00","LONGIL","61762","1893.6087"
"2021/01/02 01:00:00","LONGIL","61762","1786.4875"
"2021/01/02 02:00:00","LONGIL","61762","1720.9229"
"2021/01/02 03:00:00","LONGIL","61762","1672.7371"
"2021/01/02 04:00:00","LONGIL","61762","1665.4129"
"2021/01/02 05:00:00","LONGIL","61762","1690.1063"
"2021/01/02 06:00:00","LONGIL","61762","1752.7619"
"2021/01/02 07:00:00","LONGIL","61762","1824.9149"
"2021/01/02 08:00:00","LONGIL","61762","1917.1963"
"2021/01/02 09:00:00","LONGIL","61762","1900.2054"
"2021/01/02 10:00:00","LONGIL","61762","1838.1921"
"2021/01/02 11:00:00","LONGIL","61762","1881.5267"
"2021/01/02 12:00:00","LONGIL","61762","1850.7509"
"2021/01/02 13:00:00","LONGIL","61762","1883.2984"
"2021/01/02 14:00:00","LONGIL","61762","1931.1671"
"2021/01/02 15:00:00","LONGIL","61762","2034.8756"
"2021/01/02 16:00:00","LONGIL","61762","2266.8363"
"2021/01/02 17:00:00","LONGIL","61762","2523.3584"
"2021/01/02 18:00:00","LONGIL","61762","2538.6397"
"2021/01/02 19:00:00","LONGIL","61762","2478.6534"
"2021/01/02 20:00:00","LONGIL","61762","2406.0995"
"2021/01/02 21:00:00","LONGIL","61762","2310.2641"
"2021/01/02 22:00:00","LONGIL","61762","2176.376"
"2021/01/02 23:00:00","LONGIL","61762","2024.7704"
"2021/01/03 00:00:00","LONGIL","61762","1887.5685"
"2021/01/03 01:00:00","LONGIL","61762","1790.0642"
"2021/01/03 02:00:00","LONGIL","61762","1741.7013"
"2021/01/03 03:00:00","LONGIL","61762","1708.9319"
"2021/01/03 04:00:00","LONGIL","61762","1708.554"
"2021/01/03 05:00:00","LONGIL","61762","1744.4929"
"2021/01/03 06:00:00","LONGIL","61762","1791.4717"
"2021/01/03 07:00:00","LONGIL","61762","1855.3033"
"2021/01/03 08:00:00","LONGIL","61762","1952.7834"
"2021/01/03 09:00:00","LONGIL","61762","2084.3541"
"2021/01/03 10:00:00","LONGIL","61762","2204.1885"
"2021/01/03 11:00:00","LONGIL","61762","2256.1073"
"2021/01/03 12:00:00","LONGIL","61762","2318.3248"
"2021/01/03 13:00:00","LONGIL","61762","2364.7202"
"2021/01/03 14:00:00","LONGIL","61762","2412.5575"
"2021/01/03 15:00:00","LONGIL","61762","2451.477"
"2021/01/03 16:00:00","LONGIL","61762","2587.5953"
"2021/01/03 17:00:00","LONGIL","61762","2725.6805"
"2021/01/03 18:00:00","LONGIL","61762","2679.7169"
"2021/01/03 19:00:00","LONGIL","61762","2588.8299"
"2021/01/03 20:00:00","LONGIL","61762","2495.5814"
"2021/01/03 21:00:00","LONGIL","61762","2361.2955"
"2021/01/03 22:00:00","LONGIL","61762","2183.0737"
"2021/01/03 23:00:00","LONGIL","61762","2003.3459"
"2021/01/04 00:00:00","LONGIL","61762","1858.9287"
