Eastern Date Hour,Zone Name,DAM Forecast Load,GMT Start Hour
1/1/21 0:00,CAPITL,1213,5
1/1/21 0:00,CENTRL,1584,5
1/1/21 0:00,DUNWOD,560,5
1/1/21 0:00,GENESE,954,5
1/1/21 0:00,HUD VL,954,5
1/1/21 0:00,LONGIL,2028,5
1/1/21 0:00,MHK VL,714,5
1/1/21 0:00,MILLWD,306,5
1/1/21 0:00,N.Y.C.,4800,5
1/1/21 0:00,NORTH,579,5
1/1/21 0:00,WEST,1498,5
1/1/21 1:00,CAPITL,1174,6
1/1/21 1:00,CENTRL,1534,6
1/1/21 1:00,DUNWOD,541,6
1/1/21 1:00,GENESE,923,6
1/1/21 1:00,HUD VL,914,6
1/1/21 1:00,LONGIL,1921,6
1/1/21 1:00,MHK VL,690,6
1/1/21 1:00,MILLWD,294,6
1/1/21 1:00,N.Y.C.,4687,6
1/1/21 1:00,NORTH,577,6
1/1/21 1:00,WEST,1460,6
1/1/21 2:00,CAPITL,1146,7
1/1/21 2:00,CENTRL,1496,7
1/1/21 2:00,DUNWOD,523,7
1/1/21 2:00,GENESE,899,7
1/1/21 2:00,HUD VL,884,7
1/1/21 2:00,LONGIL,1833,7
1/1/21 2:00,MHK VL,672,7
1/1/21 2:00,MILLWD,287,7
1/1/21 2:00,N.Y.C.,4550,7
1/1/21 2:00,NORTH,573,7
1/1/21 2:00,WEST,1430,7
1/1/21 3:00,CAPITL,1133,8
1/1/21 3:00,CENTRL,1484,8
1/1/21 3:00,DUNWOD,506,8
1/1/21 3:00,GENESE,888,8
1/1/21 3:00,HUD VL,874,8
1/1/21 3:00,LONGIL,1775,8
1/1/21 3:00,MHK VL,663,8
1/1/21 3:00,MILLWD,274,8
1/1/21 3:00,N.Y.C.,4439,8
1/1/21 3:00,NORTH,574,8
1/1/21 3:00,WEST,1416,8
1/1/21 4:00,CAPITL,1136,9
1/1/21 4:00,CENTRL,1478,9
1/1/21 4:00,DUNWOD,499,9
1/1/21 4:00,GENESE,887,9
1/1/21 4:00,HUD VL,875,9
1/1/21 4:00,LONGIL,1754,9
1/1/21 4:00,MHK VL,667,9
1/1/21 4:00,MILLWD,270,9
1/1/21 4:00,N.Y.C.,4383,9
1/1/21 4:00,NORTH,570,9
1/1/21 4:00,WEST,1407,9
1/1/21 5:00,CAPITL,1153,10
1/1/21 5:00,CENTRL,1504,10
1/1/21 5:00,DUNWOD,508,10
1/1/21 5:00,GENESE,904,10
1/1/21 5:00,HUD VL,892,10
1/1/21 5:00,LONGIL,1773,10
1/1/21 5:00,MHK VL,683,10
1/1/21 5:00,MILLWD,273,10
1/1/21 5:00,N.Y.C.,4415,10
1/1/21 5:00,NORTH,573,10
1/1/21 5:00,WEST,1413,10
1/1/21 6:00,CAPITL,1184,11
1/1/21 6:00,CENTRL,1556,11
1/1/21 6:00,DUNWOD,519,11
1/1/21 6:00,GENESE,923,11
1/1/21 6:00,HUD VL,929,11
1/1/21 6:00,LONGIL,1821,11
1/1/21 6:00,MHK VL,713,11
1/1/21 6:00,MILLWD,283,11
1/1/21 6:00,N.Y.C.,4553,11
1/1/21 6:00,NORTH,577,11
1/1/21 6:00,WEST,1442,11
1/1/21 7:00,CAPITL,1201,12
1/1/21 7:00,CENTRL,1587,12
1/1/21 7:00,DUNWOD,515,12
1/1/21 7:00,GENESE,936,12
1/1/21 7:00,HUD VL,931,12
1/1/21 7:00,LONGIL,1813,12
1/1/21 7:00,MHK VL,733,12
