# Renewables.ninja Wind (Point API) - 40.688, -72.522 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/New_York, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/New_York", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "40.68791873136819", "lon": "-72.52166352213406", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "100", "turbine": "GE 2.5xl", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2018-12-31 19:00,0.908,12.623
2019-01-01 01:00,2018-12-31 20:00,0.958,14.111
2019-01-01 02:00,2018-12-31 21:00,0.969,14.665
2019-01-01 03:00,2018-12-31 22:00,0.978,15.241
2019-01-01 04:00,2018-12-31 23:00,0.983,15.668
2019-01-01 05:00,2019-01-01 00:00,0.986,15.994
2019-01-01 06:00,2019-01-01 01:00,0.989,16.453
2019-01-01 07:00,2019-01-01 02:00,0.991,17.141
2019-01-01 08:00,2019-01-01 03:00,0.988,16.185
2019-01-01 09:00,2019-01-01 04:00,0.983,15.680
2019-01-01 10:00,2019-01-01 05:00,0.989,16.355
2019-01-01 11:00,2019-01-01 06:00,0.975,19.126
2019-01-01 12:00,2019-01-01 07:00,0.982,18.641
2019-01-01 13:00,2019-01-01 08:00,0.989,17.840
2019-01-01 14:00,2019-01-01 09:00,0.990,17.454
2019-01-01 15:00,2019-01-01 10:00,0.990,17.681
2019-01-01 16:00,2019-01-01 11:00,0.990,17.654
2019-01-01 17:00,2019-01-01 12:00,0.989,16.526
2019-01-01 18:00,2019-01-01 13:00,0.973,14.851
2019-01-01 19:00,2019-01-01 14:00,0.954,13.942
2019-01-01 20:00,2019-01-01 15:00,0.931,13.201
2019-01-01 21:00,2019-01-01 16:00,0.912,12.716
2019-01-01 22:00,2019-01-01 17:00,0.902,12.489
2019-01-01 23:00,2019-01-01 18:00,0.889,12.239
2019-01-02 00:00,2019-01-01 19:00,0.841,11.437
2019-01-02 01:00,2019-01-01 20:00,0.765,10.510
2019-01-02 02:00,2019-01-01 21:00,0.711,9.976
2019-01-02 03:00,2019-01-01 22:00,0.651,9.457
2019-01-02 04:00,2019-01-01 23:00,0.589,8.968
2019-01-02 05:00,2019-01-02 00:00,0.559,8.749
2019-01-02 06:00,2019-01-02 01:00,0.528,8.515
2019-01-02 07:00,2019-01-02 02:00,0.513,8.409
2019-01-02 08:00,2019-01-02 03:00,0.512,8.398
2019-01-02 09:00,2019-01-02 04:00,0.505,8.346
2019-01-02 10:00,2019-01-02 05:00,0.499,8.306
2019-01-02 11:00,2019-01-02 06:00,0.464,8.060
2019-01-02 12:00,2019-01-02 07:00,0.426,7.781
2019-01-02 13:00,2019-01-02 08:00,0.364,7.335
2019-01-02 14:00,2019-01-02 09:00,0.254,6.458
2019-01-02 15:00,2019-01-02 10:00,0.142,5.364
2019-01-02 16:00,2019-01-02 11:00,0.032,3.495
2019-01-02 17:00,2019-01-02 12:00,0.002,1.923
2019-01-02 18:00,2019-01-02 13:00,0,0.993
